date,protocol,tvl_usd
2026-06-01,alphalend,65434071
2026-06-01,bucket,62432382
2026-06-01,navi,152439478.09521
2026-06-01,scallop,19321535
2026-06-01,suilend,132513823
2026-06-02,alphalend,65150763
2026-06-02,bucket,60875545
2026-06-02,navi,144363588.34265
2026-06-02,scallop,18934139
2026-06-02,suilend,130322926
2026-06-03,alphalend,61369077
2026-06-03,bucket,59550756
2026-06-03,navi,137046331.82983
2026-06-03,scallop,17808816
2026-06-03,suilend,119535698
2026-06-04,alphalend,61499350
2026-06-04,bucket,59765522
2026-06-04,navi,133664320.39111
2026-06-04,scallop,17663751
2026-06-04,suilend,120321051
2026-06-05,alphalend,59026688.42721329
2026-06-05,bucket,58629325
2026-06-05,navi,130778302.14961
2026-06-05,scallop,17177580
2026-06-05,suilend,111802439
2026-06-06,alphalend,57694838.71507667
2026-06-06,bucket,57205642
2026-06-06,navi,127056076.43118
2026-06-06,scallop,15722721
2026-06-06,suilend,105244829
2026-06-07,alphalend,57775465.91483642
2026-06-07,bucket,57283746
2026-06-07,navi,127989150.75403
2026-06-07,scallop,15437739
2026-06-07,suilend,106104225
2026-06-08,alphalend,59171625.352373585
2026-06-08,bucket,57972547
2026-06-08,navi,130594561.55195
2026-06-08,scallop,15760626
2026-06-08,suilend,110500404
2026-06-09,alphalend,57924841.117367044
2026-06-09,bucket,57657176
2026-06-09,navi,128549659.46676
2026-06-09,scallop,15616810
2026-06-09,suilend,110927965
2026-06-10,alphalend,57623753.902048014
2026-06-10,bucket,57800418
2026-06-10,navi,126360096.37202
2026-06-10,scallop,15621996
2026-06-10,suilend,110070927
2026-06-11,alphalend,57129374.52757435
2026-06-11,bucket,57442151
2026-06-11,navi,125726152.68091
2026-06-11,scallop,14837118
2026-06-11,suilend,107738709
2026-06-12,alphalend,59395639.03204115
2026-06-12,bucket,58044192
2026-06-12,navi,129587444.21373
2026-06-12,scallop,15090579
2026-06-12,suilend,111437681
2026-06-13,alphalend,59483378.83473906
2026-06-13,bucket,58142304
2026-06-13,navi,130826680.67367
2026-06-13,scallop,15567238
2026-06-13,suilend,111476353
2026-06-14,alphalend,61648985.60832025
2026-06-14,bucket,58493622
2026-06-14,navi,131864521.57117
2026-06-14,scallop,15706545
2026-06-14,suilend,113443473
2026-06-15,alphalend,61718517.89843095
2026-06-15,bucket,59031952
2026-06-15,navi,134194935.25445
2026-06-15,scallop,15622791
2026-06-15,suilend,115960929
2026-06-16,alphalend,62663605.454480834
2026-06-16,bucket,59077883
2026-06-16,navi,135772760.34224
2026-06-16,scallop,15540704
2026-06-16,suilend,116076221
2026-06-17,alphalend,61938546.00270313
2026-06-17,bucket,59128339
2026-06-17,navi,136230609.94556
2026-06-17,scallop,15431388
2026-06-17,suilend,116920790
2026-06-18,alphalend,62179932.17809098
2026-06-18,bucket,58594070
2026-06-18,navi,132081362.74656
2026-06-18,scallop,15097625
2026-06-18,suilend,112899943
2026-06-19,alphalend,60104481.30034896
2026-06-19,bucket,57831624
2026-06-19,navi,128996292.97752
2026-06-19,scallop,14652673
2026-06-19,suilend,109155623
2026-06-20,alphalend,58845422.96159949
2026-06-20,bucket,57581492
2026-06-20,navi,130000655.06375
2026-06-20,scallop,14531104
2026-06-20,suilend,107910540
2026-06-21,alphalend,59812672.15434761
2026-06-21,bucket,57634132
2026-06-21,navi,130542588.15985
2026-06-21,scallop,14556716
2026-06-21,suilend,106560912
2026-06-22,alphalend,59089040.50257982
2026-06-22,bucket,57365406
2026-06-22,navi,128845639.43546
2026-06-22,scallop,14319915
2026-06-22,suilend,106290381
2026-06-23,alphalend,59702669.0533518
2026-06-23,bucket,57720251
2026-06-23,navi,130467284.89588
2026-06-23,scallop,15615695
2026-06-23,suilend,107128969
2026-06-24,alphalend,57275823.3634735
2026-06-24,bucket,57794858
2026-06-24,navi,129004404.75245
2026-06-24,scallop,15161191
2026-06-24,suilend,106094576
2026-06-25,alphalend,56185917.116786815
2026-06-25,bucket,57367987
2026-06-25,navi,126944258.73296
2026-06-25,scallop,14725546
2026-06-25,suilend,103205760
2026-06-26,alphalend,55153034.56614823
2026-06-26,bucket,57157865
2026-06-26,navi,123285501.20017
2026-06-26,scallop,13074997
2026-06-26,suilend,102624173
2026-06-27,alphalend,54999334.544346705
2026-06-27,bucket,57169701
2026-06-27,navi,125048093.34552
2026-06-27,scallop,13045246
2026-06-27,suilend,104717835
2026-06-28,alphalend,55407265.01757547
2026-06-28,bucket,56879913
2026-06-28,navi,123999000.48704
2026-06-28,scallop,12897507
2026-06-28,suilend,102658469
2026-06-29,alphalend,54996921.47808682
2026-06-29,bucket,56803303
2026-06-29,navi,124659427.46614
2026-06-29,scallop,13342804
2026-06-29,suilend,102366570
2026-06-30,alphalend,55161903.86882529
2026-06-30,bucket,57081976
2026-06-30,navi,125966195.36435
2026-06-30,scallop,13150969
2026-06-30,suilend,104279320
