id,symbol,baseRate,multiplier,jumpMultiplier,kink,reserveFactor,updatedAt,protocol,liquidationThreshold,ltv,psmFee,redemptionFee
53,ALPHA,0,10,285,0.9,0.1,2026-07-02 00:45:37.644,alphalend,0.99,0,,
51,BLUE,0,2,95,0.8,0.2,2026-07-02 00:45:37.619,alphalend,0.45,0,,
47,BTC,0,2,5,0.95,0.2,2026-06-02 01:05:45.65,alphalend,0.85,0.6,,
37,BTCVC,20,0,40,0.9,0.2,2026-07-02 00:45:37.455,alphalend,0.3,0,,
49,DEEP,0,4,55,0.8,0.25,2026-07-02 00:45:37.594,alphalend,0.85,0.8,,
55,EBTC,0,50,2500,0.8,0.2,2026-07-02 00:45:37.67,alphalend,0.87,0.75,,
41,EEARN,0,9,280,0.95,0.15,2026-07-02 00:45:37.505,alphalend,0.7,0.6,,
50,EGUSDC,0,12,280,0.8,0.2,2026-07-02 00:45:37.606,alphalend,0.89,0.8,,
52,ESUI,0,50,2500,0.8,0.2,2026-07-02 00:45:37.631,alphalend,0.88,0.8,,
45,ETHIRD,0,12,280,0.8,0.2,2026-07-02 00:45:37.555,alphalend,0.89,0.8,,
54,IKA,0,25,2920,0.65,0.4,2026-07-02 00:45:37.657,alphalend,0.85,0.3,,
40,STSUI,0,7,85,0.8,0.15,2026-07-02 00:45:37.493,alphalend,0.9,0.85,,
48,SUI,0,3,190,0.9,0.15,2026-07-02 00:45:37.581,alphalend,0.9,0.85,,
39,TBTC,0,1,90,0.95,0.2,2026-07-02 00:45:37.481,alphalend,0.85,0.8,,
56,USDC,0,9,80,0.95,0.15,2026-07-02 00:45:37.682,alphalend,0.9,0.85,,
36,USDSUI,0,5,55,0.95,0.25,2026-07-02 00:45:37.441,alphalend,0.8,0.7,,
38,USDT,0,9,80,0.95,0.15,2026-07-02 00:45:37.468,alphalend,0.9,0.85,,
43,WAL,0,10,20,0.97,0.25,2026-07-02 00:45:37.529,alphalend,0.85,0.8,,
44,WBTC,0,3,275,0.9,0.15,2026-07-02 00:45:37.542,alphalend,0.85,0.7,,
42,XAUM,0,4,75,0.9,0.3,2026-07-02 00:45:37.517,alphalend,0.94,0.89,,
46,XBTC,0,1,97,0.95,0.2,2026-07-02 00:45:37.568,alphalend,0.85,0.8,,
